Index      width(μm)
  3         6.36
  4         5.54
  5         4.73
  6         4.33
  7         3.98
  8         3.70
  9         3.49
 10         3.22
 11         3.11
 12         3.08
 13         2.85
 14         2.74
 15         2.61
 16         2.60
 17         2.49
 18         2.47
 19         2.36
 20         2.23
 21         2.24
 22         2.22
 23         2.12
 24         2.10
 25         2.09
 26         2.01
 27         1.99
 28         1.86
 29         1.96
 30         1.89
 31         1.77
263          0.66
264          0.70
265          0.58
266          0.66
267          0.66
268          0.66
269          0.58
270          0.70
271          0.63
272          0.61
273          0.66
274          0.62
275          0.64
276          0.63
277          0.61
278          0.63
279          0.62
280          0.62
281          0.66
282          0.58
283          1.27
284          0.62
285          0.62
286          0.61
287          0.62
288          0.62
289          0.60
290          0.63
291          0.60
292          0.63
293          0.58
294          0.62
295          0.61
296          0.60
297          0.61
298          0.60
299          0.61
300          0.62
301          0.61
302          0.60
303          0.60
1238          0.31
1239          0.35
1240          0.33
1241          0.34
1242          0.31
1243          0.35
1244          0.31
1245          0.33
1246          0.35
1247          0.33
1248          0.31
1249          0.35
1250          0.32
1251          0.33
1252          0.34
1253          0.34
1254          0.31
1255          0.34
1256          0.31
1257          0.37
1258          0.62
1259          0.36
1260          0.31
1261          0.34
1262          0.33
1263          0.34
1264          0.30
1265          0.34
1266          0.31
1267          0.36
1268          0.31
1269          0.33
1270          0.32
1271          0.34
1272          0.32
1273          0.35
1274          0.31
1275          0.34
1276          0.32
1277          0.34
1278          0.31
6352          0.25
6353          0.20
6354          0.25
6355          0.21
6356          0.24
6357          0.21
6358          0.25
6359          0.21
6360          0.25
6361          0.20
6362          0.26
6363          0.20
6364          0.24
6365          0.21
6366          0.25
6367          0.21
6368          0.24
6369          0.20
6370          0.26
6371          0.19
6372          0.25
6373          0.21
6374          0.25
6375          0.20
6376          0.25
6377          0.21
6378          0.25
6379          0.20
6380          0.24
6381          0.21
6382          0.25
6383          0.20
6384          0.26
6385          0.21
6386          0.25
6387          0.19
