  r(μm)     depth(nm)
-38.6958    1.84201343
-38.6736    2.02972533
-38.6514    2.18438465
-38.6292    2.17143725
-38.6070    2.13549064
-38.5848    2.04169265
-38.5625    2.12125591
-38.5403    2.11649919
-38.5181    2.04489616
-38.4959    1.98740768
-38.4737    2.07440109
-38.4515    2.02519037
-38.4292    1.92252396
-38.4070    1.79002919
-38.3848    1.45586008
-38.3626    1.37808204
-38.3404    1.29653401
-38.3182    1.31537570
-38.2959    1.48644261
-38.2737    1.58600638
-38.2515    1.47351778
-38.2293    1.58897730
-38.2071    1.59619674
-38.1848    1.19681457
-38.1626    1.22225140
-38.1404    1.21538326
-38.1182    1.12615689
-38.0960    1.06444878
-38.0738    1.45538057
-38.0515    1.46887677
-38.0293    1.89549399
-38.0071    2.09396504
-37.9849    2.18540100
-37.9627    2.15108346
-37.9405    2.35373198
-37.9182    2.03975896
-37.8960    2.02806215
-37.8738    2.05787810
-37.8516    1.92052369
-37.8294    1.99186614
-37.8072    2.14005323
-37.7849    1.97591148
-37.7627    2.00215115
-37.7405    2.31866823
-37.7183    2.18329726
-37.6961    1.95412238
-37.6739    1.89217864
-37.6516    1.81223701
-37.6294    1.61632495
-37.6072    1.65159576
-37.5850    1.82497335
-37.5628    1.66225816
-37.5405    2.06644199
-37.5183    1.95395347
-37.4961    1.78726752
-37.4739    1.70641952
-37.4517    1.55980757
-37.4295    1.17266944
-37.4072    0.94421020
-37.3850    0.78651030
-37.3628    0.88512029
-37.3406    0.91026784
-37.3184    1.15697753
-37.2962    1.08152614
-37.2739    0.74970744
-37.2517    0.85039761
-37.2295    0.60225671
-37.2073    0.28871529
-37.1851    0.24063238
-37.1629   -0.04904521
-37.1406   -0.18325750
-37.1184   -0.30271424
-37.0962   -0.60650879
-37.0740   -1.02823086
-37.0518   -1.22253176
-37.0295   -1.54300773
-37.0073   -1.90222464
-36.9851   -1.82254540
-36.9629   -2.13639408
-36.9407   -2.43766724
-36.9185   -2.39497729
-36.8962   -2.61796398
-36.8740   -3.15008585
-36.8518   -3.42368993
-36.8296   -3.87540891
-36.8074   -4.56604282
-36.7852   -4.86479018
-36.7629   -4.98657365
-36.7407   -5.16222986
-36.7185   -5.20732434
-36.6963   -4.94233816
-36.6741   -4.94981526
-36.6519   -4.84287622
-36.6296   -4.93787591
-36.6074   -5.21833150
-36.5852   -5.64496466
-36.5630   -5.99936542
-36.5408   -6.33248634
-36.5186   -6.75510530
-36.4963   -6.64814355
-36.4741   -6.42512375
-36.4519   -6.55433648
-36.4297   -6.14972101
-36.4075   -6.20246314
-36.3852   -6.32341869
-36.3630   -6.37800557
-36.3408   -6.51065953
-36.3186   -6.74357718
-36.2964   -6.79825135
-36.2742   -6.91131335
-36.2519   -7.14748773
-36.2297   -7.06468712
-36.2075   -6.52007720
-36.1853   -6.38565931
-36.1631   -6.19064428
-36.1409   -5.86055689
-36.1186   -5.98446480
-36.0964   -6.12236653
-36.0742   -6.13224657
-36.0520   -6.59597957
-36.0298   -6.46690132
-36.0076   -6.37260839
-35.9853   -6.40772072
-35.9631   -6.20216767
-35.9409   -5.98552640
-35.9187   -5.86702626
-35.8965   -5.66119837
-35.8743   -5.90879299
-35.8520   -6.16929155
-35.8298   -6.34045378
-35.8076   -6.60467990
-35.7854   -6.95654892
-35.7632   -7.20486509
-35.7409   -7.45620711
-35.7187   -7.43364620
-35.6965   -7.87351488
-35.6743   -8.15358866
-35.6521   -8.21125665
-35.6299   -8.79877108
-35.6076   -9.46777152
-35.5854   -9.56425276
-35.5632  -10.18074189
-35.5410  -10.75517173
-35.5188  -10.88470289
-35.4966  -11.27804748
-35.4743  -11.88496117
-35.4521  -12.01654001
-35.4299  -12.43653797
-35.4077  -13.12355270
-35.3855  -13.53033073
-35.3633  -14.24282262
-35.3410  -14.78601661
-35.3188  -15.29185135
-35.2966  -15.68093123
-35.2744  -16.37321618
-35.2522  -16.91126774
-35.2299  -17.56275983
-35.2077  -18.48462167
-35.1855  -19.28392012
-35.1633  -20.06499808
-35.1411  -20.91720507
-35.1189  -21.69313165
-35.0966  -22.50796650
-35.0744  -23.22148298
-35.0522  -23.92147452
-35.0300  -25.03910253
-35.0078  -25.93791400
-34.9856  -26.79504170
-34.9633  -27.68432809
-34.9411  -28.68347768
-34.9189  -29.40048754
-34.8967  -30.67228418
-34.8745  -31.73486055
-34.8523  -32.60751707
-34.8300  -33.61916534
-34.8078  -34.60343156
-34.7856  -35.76500802
-34.7634  -36.95899628
-34.7412  -38.44653369
-34.7190  -40.16317073
-34.6967  -41.79056247
-34.6745  -43.60625488
-34.6523  -46.03884090
-34.6301  -48.46124241
-34.6079  -51.60939980
-34.5856  -55.31555516
-34.5634  -59.35446750
-34.5412  -63.63045857
-34.5190  -68.88300964
-34.4968  -73.92988358
-34.4746  -79.42627362
-34.4523  -85.17937488
-34.4301  -90.45363527
-34.4079  -95.76361959
-34.3857  -101.77006725
-34.3635  -107.81388327
-34.3413  -114.37682574
-34.3190  -122.34926700
-34.2968  -131.25977852
-34.2746  -141.16595874
-34.2524  -153.00468869
-34.2302  -166.12285123
-34.2080  -181.00867449
-34.1857  -198.10536348
-34.1635  -216.87730233
-34.1413  -237.22120781
-34.1191  -260.38349604
-34.0969  -285.81044088
-34.0747  -312.71609030
-34.0524  -340.77607580
-34.0302  -367.98797140
-34.0080  -395.02197406
-33.9858  -420.22595945
-33.9636  -441.89054699
-33.9413  -459.14499543
-33.9191  -472.29022830
-33.8969  -481.36204880
-33.8747  -488.53519886
-33.8525  -494.63972479
-33.8303  -499.76632773
-33.8080  -503.89926571
-33.7858  -507.27321266
-33.7636  -510.04949540
-33.7414  -512.08985049
-33.7192  -513.87794526
-33.6970  -515.54023172
-33.6747  -516.93031584
-33.6525  -517.90679966
-33.6303  -518.91638481
-33.6081  -519.59471798
-33.5859  -519.88393811
-33.5637  -520.50540630
-33.5414  -520.78079232
-33.5192  -521.05806423
-33.4970  -521.34054774
-33.4748  -521.83820921
-33.4526  -521.99522575
-33.4303  -522.33736268
-33.4081  -522.62565963
-33.3859  -522.74765202
-33.3637  -522.71251577
-33.3415  -522.84027723
-33.3193  -522.66996400
-33.2970  -522.60717562
-33.2748  -522.47760442
-33.2526  -522.54222501
-33.2304  -522.41557543
-33.2082  -522.38011964
-33.1860  -522.41562326
-33.1637  -522.32530969
-33.1415  -522.36355092
-33.1193  -522.12247146
-33.0971  -521.77496448
-33.0749  -521.80916834
-33.0527  -521.79649736
-33.0304  -521.40629706
-33.0082  -521.33384727
-32.9860  -520.82124252
-32.9638  -519.76801275
-32.9416  -518.22936740
-32.9194  -515.76896033
-32.8971  -511.65397631
