Δz(μm)    Intensity
 -7.90     0.077866
 -7.80     0.085436
 -7.70     0.094448
 -7.60     0.092646
 -7.50     0.085436
 -7.40     0.083634
 -7.30     0.099856
 -7.20     0.098053
 -7.10     0.106705
 -7.00     0.111031
 -6.90     0.136265
 -6.80     0.138428
 -6.70     0.146359
 -6.60     0.147080
 -6.50     0.146359
 -6.40     0.148522
 -6.30     0.130137
 -6.20     0.157174
 -6.10     0.147801
 -6.00     0.125451
 -5.90     0.143475
 -5.80     0.158976
 -5.70     0.176280
 -5.60     0.193583
 -5.50     0.228190
 -5.40     0.258472
 -5.30     0.268926
 -5.20     0.264239
 -5.10     0.254146
 -5.00     0.258472
 -4.90     0.242249
 -4.80     0.247657
 -4.70     0.244773
 -4.60     0.259553
 -4.50     0.263879
 -4.40     0.316150
 -4.30     0.352920
 -4.20     0.372026
 -4.10     0.386806
 -4.00     0.425739
 -3.90     0.411680
 -3.80     0.395818
 -3.70     0.397621
 -3.60     0.382480
 -3.50     0.385004
 -3.40     0.387527
 -3.30     0.390411
 -3.20     0.387167
 -3.10     0.401226
 -3.00     0.402307
 -2.90     0.408435
 -2.80     0.408435
 -2.70     0.415285
 -2.60     0.390050
 -2.50     0.427902
 -2.40     0.466114
 -2.30     0.506849
 -2.20     0.542898
 -2.10     0.597693
 -2.00     0.624730
 -1.90     0.654290
 -1.80     0.679885
 -1.70     0.672675
 -1.60     0.661500
 -1.50     0.642394
 -1.40     0.639510
 -1.30     0.628695
 -1.20     0.640591
 -1.10     0.639510
 -1.00     0.650324
 -0.90     0.683129
 -0.80     0.688897
 -0.70     0.772531
 -0.60     0.770007
 -0.50     0.831291
 -0.40     0.919250
 -0.30     0.981975
 -0.20     0.976929
 -0.10     0.953857
  0.00     0.980534
  0.10     0.956381
  0.20     1.000000
  0.30     0.967916
  0.40     0.893295
  0.50     0.848234
  0.60     0.857246
  0.70     0.822639
  0.80     0.828046
  0.90     0.818313
  1.00     0.776857
  1.10     0.801009
  1.20     0.831291
  1.30     0.771449
  1.40     0.776496
  1.50     0.740807
  1.60     0.748738
  1.70     0.762437
  1.80     0.717015
  1.90     0.720260
  2.00     0.702596
  2.10     0.709445
  2.20     0.641673
  2.30     0.598053
  2.40     0.605624
  2.50     0.574982
  2.60     0.581831
  2.70     0.555876
  2.80     0.542898
  2.90     0.547585
  3.00     0.506128
  3.10     0.480534
  3.20     0.463230
  3.30     0.446287
  3.40     0.414203
  3.50     0.423576
  3.60     0.395458
  3.70     0.385725
  3.80     0.407714
  3.90     0.356885
  4.00     0.369503
  4.10     0.318313
  4.20     0.286229
  4.30     0.249820
  4.40     0.268565
  4.50     0.232156
  4.60     0.237203
  4.70     0.215934
  4.80     0.216294
  4.90     0.232156
  5.00     0.211247
  5.10     0.201875
  5.20     0.210526
  5.30     0.219539
  5.40     0.229993
  5.50     0.229272
  5.60     0.212689
  5.70     0.214131
  5.80     0.198270
  5.90     0.204037
  6.00     0.192862
  6.10     0.190339
  6.20     0.190339
  6.30     0.171233
  6.40     0.161860
  6.50     0.155732
  6.60     0.138789
  6.70     0.139510
  6.80     0.108147
  6.90     0.102019
  7.00     0.105624
  7.10     0.098774
  7.20     0.103461
  7.30     0.087599
  7.40     0.098414
  7.50     0.098774
  7.60     0.093367
  7.70     0.095169
  7.80     0.087960
  7.90     0.090483
  8.00     0.084715
  8.10     0.105263
  8.20     0.093727
  8.30     0.103461
  8.40     0.090483
  8.50     0.107787
  8.60     0.105984
  8.70     0.091565
  8.80     0.095169
  8.90     0.094809
  9.00     0.096251
  9.10     0.083634
  9.20     0.071377
  9.30     0.080389
  9.40     0.072459
  9.50     0.063086
  9.60     0.069214
  9.70     0.070296
  9.80     0.055155
  9.90     0.074982
 10.00     0.062004
 10.10     0.055516
 10.20     0.055876
 10.30     0.055516
 10.40     0.052992
 10.50     0.036410
 10.60     0.054074
 10.70     0.029921
 10.80     0.031002
 10.90     0.032084
 11.00     0.014420
 11.10     0.009733
 11.20     0.017664
 11.30     0.012257
 11.40     0.005768
 11.50     0.006128
 11.60     0.007570
 11.70     0.007210
 11.80     0.002163
 11.90     0.000000
