 Δz(μm)      Intensity
 -8.00     0.008502
 -7.80     0.004675
 -7.60     0.009358
 -7.40     0.020443
 -7.20     0.025838
 -7.00     0.019473
 -6.80     0.011297
 -6.60     0.016526
 -6.40     0.033296
 -6.20     0.040113
 -6.00     0.026199
 -5.80     0.010989
 -5.60     0.013931
 -5.40     0.022833
 -5.20     0.018504
 -5.00     0.007576
 -4.80     0.002519
 -4.60     0.000275
 -4.40     0.004977
 -4.20     0.027362
 -4.00     0.045783
 -3.80     0.030471
 -3.60     0.010405
 -3.40     0.031393
 -3.20     0.059464
 -3.00     0.036293
 -2.80     0.001627
 -2.60     0.023375
 -2.40     0.054556
 -2.20     0.024895
 -2.00     0.005085
 -1.80     0.083393
 -1.60     0.162946
 -1.40     0.107965
 -1.20     0.008079
 -1.00     0.061873
 -0.80     0.279720
 -0.60     0.522652
 -0.40     0.733960
 -0.20     0.917495
  0.00     1.000000
  0.20     0.918087
  0.40     0.734824
  0.60     0.523376
  0.80     0.280210
  1.00     0.062156
  1.20     0.007958
  1.40     0.107699
  1.60     0.163417
  1.80     0.084471
  2.00     0.005411
  2.20     0.024407
  2.40     0.054770
  2.60     0.024228
  2.80     0.001397
  3.00     0.035254
  3.20     0.059595
  3.40     0.032400
  3.60     0.010447
  3.80     0.030168
  4.00     0.046983
  4.20     0.029279
  4.40     0.005766
  4.60     0.000374
  4.80     0.002868
  5.00     0.007320
  5.20     0.017265
  5.40     0.022011
  5.60     0.013868
  5.80     0.010331
  6.00     0.025044
  6.20     0.040239
  6.40     0.034917
  6.60     0.017933
  6.80     0.011652
  7.00     0.019622
  7.20     0.026669
  7.40     0.021842
  7.60     0.010493
  7.80     0.005023
  8.00     0.008686
  8.20     0.012980
  8.40     0.010795
  8.60     0.004876
  8.80     0.001100
  9.00     0.001376
  9.20     0.004905
  9.40     0.008844
  9.60     0.008530
  9.80     0.004201
 10.00     0.002959
 10.20     0.007190
 10.40     0.009308
 10.60     0.004999
 10.80     0.000806
 11.00     0.001642
 11.20     0.002888
 11.40     0.001075
 11.60     0.000068
 11.80     0.001775
 12.00     0.002337
