 r(μm)      Intensity
 -0.60     0.090652
 -0.59     0.098947
 -0.58     0.105251
 -0.57     0.109180
 -0.56     0.110458
 -0.55     0.108940
 -0.54     0.104624
 -0.53     0.097667
 -0.52     0.088375
 -0.51     0.077200
 -0.50     0.064719
 -0.49     0.051605
 -0.48     0.038596
 -0.47     0.026450
 -0.46     0.015905
 -0.45     0.007635
 -0.44     0.002203
 -0.43     0.000029
 -0.42     0.001351
 -0.41     0.006208
 -0.40     0.014427
 -0.39     0.025625
 -0.38     0.039220
 -0.37     0.054460
 -0.36     0.070461
 -0.35     0.086254
 -0.34     0.100842
 -0.33     0.113264
 -0.32     0.122651
 -0.31     0.128293
 -0.30     0.129693
 -0.29     0.126608
 -0.28     0.119091
 -0.27     0.107504
 -0.26     0.092522
 -0.25     0.075120
 -0.24     0.056538
 -0.23     0.038233
 -0.22     0.021813
 -0.21     0.008967
 -0.20     0.001372
 -0.19     0.000610
 -0.18     0.008081
 -0.17     0.024912
 -0.16     0.051891
 -0.15     0.089404
 -0.14     0.137388
 -0.13     0.195314
 -0.12     0.262183
 -0.11     0.336547
 -0.10     0.416556
 -0.09     0.500017
 -0.08     0.584485
 -0.07     0.667352
 -0.06     0.745958
 -0.05     0.817704
 -0.04     0.880158
 -0.03     0.931167
 -0.02     0.968948
 -0.01     0.992167
  0.00     1.000000
  0.01     0.992167
  0.02     0.968948
  0.03     0.931167
  0.04     0.880158
  0.05     0.817704
  0.06     0.745958
  0.07     0.667352
  0.08     0.584485
  0.09     0.500017
  0.10     0.416556
  0.11     0.336547
  0.12     0.262183
  0.13     0.195314
  0.14     0.137388
  0.15     0.089404
  0.16     0.051891
  0.17     0.024912
  0.18     0.008081
  0.19     0.000610
  0.20     0.001372
  0.21     0.008967
  0.22     0.021813
  0.23     0.038233
  0.24     0.056538
  0.25     0.075120
  0.26     0.092522
  0.27     0.107504
  0.28     0.119091
  0.29     0.126608
  0.30     0.129693
  0.31     0.128293
  0.32     0.122651
  0.33     0.113264
  0.34     0.100842
  0.35     0.086254
  0.36     0.070461
  0.37     0.054460
  0.38     0.039220
  0.39     0.025625
  0.40     0.014427
  0.41     0.006208
  0.42     0.001351
  0.43     0.000029
  0.44     0.002203
  0.45     0.007635
  0.46     0.015905
  0.47     0.026450
  0.48     0.038596
  0.49     0.051605
  0.50     0.064719
  0.51     0.077200
  0.52     0.088375
  0.53     0.097667
  0.54     0.104624
  0.55     0.108940
  0.56     0.110458
  0.57     0.109180
  0.58     0.105251
  0.59     0.098947
  0.60     0.090652
