 r(nm)      Intensity
-725.00     0.004307
-710.50     0.012204
-696.00     0.016870
-681.50     0.016152
-667.00     0.015434
-652.50     0.021177
-638.00     0.026920
-623.50     0.022613
-609.00     0.017588
-594.50     0.029074
-580.00     0.037330
-565.50     0.041637
-551.00     0.043790
-536.50     0.043073
-522.00     0.041637
-507.50     0.038406
-493.00     0.035535
-478.50     0.030510
-464.00     0.022613
-449.50     0.017588
-435.00     0.013640
-420.50     0.023690
-406.00     0.032304
-391.50     0.043431
-377.00     0.055276
-362.50     0.067839
-348.00     0.080043
-333.50     0.099785
-319.00     0.119885
-304.50     0.126346
-290.00     0.132089
-275.50     0.124551
-261.00     0.116296
-246.50     0.098349
-232.00     0.080043
-217.50     0.070711
-203.00     0.061019
-188.50     0.076095
-174.00     0.090093
-159.50     0.126346
-145.00     0.161163
-130.50     0.240129
-116.00     0.317660
-101.50     0.416726
-87.00     0.515793
-72.50     0.635319
-58.00     0.753410
-43.50     0.823762
-29.00     0.893396
-14.50     0.945441
  0.00     1.000000
 14.50     0.986001
 29.00     0.972362
 43.50     0.909189
 58.00     0.845298
 72.50     0.745872
 87.00     0.649677
101.50     0.569634
116.00     0.487078
130.50     0.393396
145.00     0.298636
159.50     0.233309
174.00     0.167265
188.50     0.127064
203.00     0.084350
217.50     0.080761
232.00     0.074659
246.50     0.082197
261.00     0.090811
275.50     0.092247
290.00     0.091888
304.50     0.094401
319.00     0.097272
333.50     0.092965
348.00     0.088658
362.50     0.067839
377.00     0.048457
391.50     0.039124
406.00     0.026920
420.50     0.022972
435.00     0.016152
449.50     0.008973
464.00     0.000000
478.50     0.011486
493.00     0.022254
507.50     0.025485
522.00     0.026920
536.50     0.032304
551.00     0.036253
565.50     0.042714
580.00     0.047739
594.50     0.039842
609.00     0.028715
623.50     0.025844
638.00     0.021177
652.50     0.019024
667.00     0.015793
681.50     0.014716
696.00     0.010768
710.50     0.010050
725.00     0.008615
