 r(nm)      Intensity
-725.00     0.003253
-710.50     0.005421
-696.00     0.004698
-681.50     0.006505
-667.00     0.007589
-652.50     0.011203
-638.00     0.013010
-623.50     0.027828
-609.00     0.042284
-594.50     0.043730
-580.00     0.044091
-565.50     0.047705
-551.00     0.051681
-536.50     0.045175
-522.00     0.040477
-507.50     0.031442
-493.00     0.020239
-478.50     0.016625
-464.00     0.010481
-449.50     0.012288
-435.00     0.013733
-420.50     0.017709
-406.00     0.022046
-391.50     0.035779
-377.00     0.046259
-362.50     0.065052
-348.00     0.084568
-333.50     0.105529
-319.00     0.126491
-304.50     0.129743
-290.00     0.131550
-275.50     0.118179
-261.00     0.105168
-246.50     0.091435
-232.00     0.076256
-217.50     0.070473
-203.00     0.065052
-188.50     0.066498
-174.00     0.067582
-159.50     0.116372
-145.00     0.164077
-130.50     0.251897
-116.00     0.340080
-101.50     0.457897
-87.00     0.575714
-72.50     0.640766
-58.00     0.705096
-43.50     0.811348
-29.00     0.919407
-14.50     0.959523
  0.00     1.000000
 14.50     0.986628
 29.00     0.972172
 43.50     0.924467
 58.00     0.875316
 72.50     0.780267
 87.00     0.689194
101.50     0.574268
116.00     0.453560
130.50     0.367907
145.00     0.277557
159.50     0.215396
174.00     0.152512
188.50     0.122154
203.00     0.091073
217.50     0.089989
232.00     0.089266
246.50     0.079147
261.00     0.067582
275.50     0.073365
290.00     0.079870
304.50     0.084568
319.00     0.085652
333.50     0.071919
348.00     0.057824
362.50     0.051681
377.00     0.043007
391.50     0.034695
406.00     0.025660
420.50     0.022407
435.00     0.019877
449.50     0.012649
464.00     0.004337
478.50     0.018432
493.00     0.031081
507.50     0.024937
522.00     0.017347
536.50     0.024214
551.00     0.028912
565.50     0.027105
580.00     0.023130
594.50     0.014456
609.00     0.007951
623.50     0.011203
638.00     0.013372
652.50     0.012649
667.00     0.010481
681.50     0.006505
696.00     0.000000
710.50     0.002530
725.00     0.003253
