Δz(μm)     fwhm(nm)
 -2.50   178.527426
 -2.40   175.874929
 -2.30   180.346001
 -2.20   181.198368
 -2.10   180.975372
 -2.00   186.885790
 -1.90   190.407919
 -1.80   184.329370
 -1.70   188.043208
 -1.60   183.513352
 -1.50   182.235887
 -1.40   183.180466
 -1.30   176.673317
 -1.20   179.325202
 -1.10   175.181991
 -1.00   187.267169
 -0.90   175.218918
 -0.80   189.283832
 -0.70   180.136289
 -0.60   193.258870
 -0.50   191.770896
 -0.40   192.094157
 -0.30   194.224373
 -0.20   194.323524
 -0.10   204.524248
  0.00   203.042029
  0.10   202.497717
  0.20   195.814170
  0.30   185.626795
  0.40   202.855928
  0.50   198.073688
  0.60   200.068842
  0.70   199.960444
  0.80   208.447986
  0.90   200.195006
  1.00   205.829268
  1.10   199.306118
  1.20   193.765518
  1.30   202.018683
  1.40   196.910588
  1.50   202.978676
  1.60   197.445534
  1.70   208.315821
  1.80   200.155769
  1.90   203.377844
  2.00   206.849700
  2.10   191.099063
  2.20   193.044871
  2.30   197.831824
  2.40   202.239607
  2.50   204.306752
  2.60   196.294784
  2.70   202.436381
  2.80   199.330492
  2.90   194.940936
  3.00   197.881787
