Δz(μm)     fwhm(nm)
 -2.50   175.779347
 -2.40   172.249185
 -2.30   175.453425
 -2.20   176.299299
 -2.10   175.003155
 -2.00   182.812953
 -1.90   186.200013
 -1.80   182.132219
 -1.70   179.203526
 -1.60   185.930301
 -1.50   183.940208
 -1.40   176.474484
 -1.30   180.984288
 -1.20   174.853200
 -1.10   175.432273
 -1.00   179.272428
 -0.90   176.117996
 -0.80   182.976750
 -0.70   181.296689
 -0.60   193.979714
 -0.50   195.948468
 -0.40   192.015726
 -0.30   195.323424
 -0.20   196.312760
 -0.10   202.970184
  0.00   206.739659
  0.10   202.980323
  0.20   194.385329
  0.30   194.488175
  0.40   195.531920
  0.50   201.150913
  0.60   195.130839
  0.70   199.471439
  0.80   200.710694
  0.90   203.700751
  1.00   208.093228
  1.10   203.710484
  1.20   196.816201
  1.30   204.241071
  1.40   200.454610
  1.50   200.111671
  1.60   198.673064
  1.70   198.614861
  1.80   206.526584
  1.90   200.693039
  2.00   200.546908
  2.10   192.691744
  2.20   202.497785
  2.30   207.056320
  2.40   196.550065
  2.50   199.728929
  2.60   194.669112
  2.70   197.267882
  2.80   198.159866
  2.90   191.222348
  3.00   202.270794
