 x(μm)    Intensity
  0.02     0.002071
  0.04     0.001554
  0.06     0.002589
  0.08     0.002589
  0.10     0.002589
  0.12     0.000000
  0.14     0.002589
  0.15     0.002071
  0.17     0.004143
  0.19     0.003625
  0.21     0.006214
  0.23     0.009322
  0.25     0.015018
  0.27     0.039876
  0.29     0.068358
  0.31     0.078198
  0.33     0.049197
  0.35     0.018643
  0.37     0.005697
  0.39     0.009839
  0.41     0.014500
  0.43     0.007768
  0.44     0.010875
  0.46     0.008804
  0.48     0.007250
  0.50     0.003107
  0.52     0.002589
  0.54     0.002589
  0.56     0.002589
  0.58     0.001554
  0.60     0.002589
  0.62     0.002071
  0.64     0.002071
  0.66     0.002071
  0.68     0.002071
  0.70     0.002071
  0.72     0.002071
  0.73     0.000518
  0.75     0.002589
  0.77     0.002589
  0.79     0.002589
  0.81     0.002071
  0.83     0.002589
  0.85     0.002589
  0.87     0.002589
  0.89     0.001036
  0.91     0.002589
  0.93     0.002071
  0.95     0.009839
  0.97     0.021750
  0.99     0.035733
  1.01     0.024340
  1.02     0.012429
  1.04     0.002071
  1.06     0.017607
  1.08     0.030554
  1.10     0.037286
  1.12     0.037286
  1.14     0.032108
  1.16     0.043501
  1.18     0.054894
  1.20     0.063698
  1.22     0.070430
  1.24     0.078716
  1.26     0.095805
  1.28     0.134127
  1.30     0.167789
  1.31     0.248576
  1.33     0.357846
  1.35     0.465562
  1.37     0.514759
  1.39     0.551010
  1.41     0.580010
  1.43     0.580528
  1.45     0.573796
  1.47     0.600207
  1.49     0.667012
  1.51     0.730709
  1.53     0.768514
  1.55     0.795961
  1.57     0.821336
  1.59     0.826515
  1.60     0.825997
  1.62     0.831693
  1.64     0.854997
  1.66     0.875194
  1.68     0.880891
  1.70     0.881926
  1.72     0.878301
  1.74     0.890212
  1.76     0.901088
  1.78     0.909891
  1.80     0.901088
  1.82     0.886069
  1.84     0.894355
  1.86     0.937856
  1.88     0.976178
  1.89     0.967374
  1.91     0.936302
  1.93     0.906266
  1.95     0.877266
  1.97     0.846194
  1.99     0.818747
  2.01     0.803729
  2.03     0.781978
  2.05     0.775764
  2.07     0.778353
  2.09     0.775246
  2.11     0.763853
  2.13     0.744692
  2.15     0.729674
  2.17     0.779907
  2.18     0.830140
  2.20     0.859140
  2.22     0.852926
  2.24     0.839461
  2.26     0.844122
  2.28     0.860176
  2.30     0.875194
  2.32     0.923356
  2.34     0.969446
  2.36     1.000000
  2.38     0.956499
  2.40     0.912481
  2.42     0.894873
  2.44     0.906784
  2.46     0.914034
  2.47     0.915070
  2.49     0.911963
  2.51     0.907302
  2.53     0.930088
