 x(μm)    Intensity
  0.02     0.010000
  0.04     0.010000
  0.06     0.010000
  0.08     0.010000
  0.10     0.010000
  0.12     0.010000
  0.14     0.010000
  0.15     0.010000
  0.17     0.010000
  0.19     0.010000
  0.21     0.010000
  0.23     0.010000
  0.25     0.010000
  0.27     0.010000
  0.29     0.010000
  0.31     0.010000
  0.33     0.010000
  0.35     0.010000
  0.37     0.010000
  0.39     0.010000
  0.41     0.010000
  0.43     0.010000
  0.44     0.010000
  0.46     0.010000
  0.48     0.010000
  0.50     0.010000
  0.52     0.010000
  0.54     0.010000
  0.56     0.010000
  0.58     0.010000
  0.60     0.010000
  0.62     0.010000
  0.64     0.010000
  0.66     0.010000
  0.68     0.010000
  0.70     0.010000
  0.72     0.010000
  0.73     0.010000
  0.75     0.010000
  0.77     0.010000
  0.79     0.010001
  0.81     0.010002
  0.83     0.010004
  0.85     0.010008
  0.87     0.010016
  0.89     0.010031
  0.91     0.010060
  0.93     0.010111
  0.95     0.010203
  0.97     0.010362
  0.99     0.010629
  1.01     0.011070
  1.02     0.011779
  1.04     0.012890
  1.06     0.014588
  1.08     0.017124
  1.10     0.020815
  1.12     0.026060
  1.14     0.033329
  1.16     0.043158
  1.18     0.056127
  1.20     0.072822
  1.22     0.093790
  1.24     0.119484
  1.26     0.150203
  1.28     0.186036
  1.30     0.226818
  1.31     0.272101
  1.33     0.321161
  1.35     0.373017
  1.37     0.426495
  1.39     0.480305
  1.41     0.533131
  1.43     0.583728
  1.45     0.631011
  1.47     0.674123
  1.49     0.712474
  1.51     0.745760
  1.53     0.773947
  1.55     0.797235
  1.57     0.816007
  1.59     0.830772
  1.60     0.842101
  1.62     0.850583
  1.64     0.856778
  1.66     0.861194
  1.68     0.864264
  1.70     0.866346
  1.72     0.867725
  1.74     0.868615
  1.76     0.869176
  1.78     0.869521
  1.80     0.869728
  1.82     0.869849
  1.84     0.869918
  1.86     0.869957
  1.88     0.869978
  1.89     0.869989
  1.91     0.869994
  1.93     0.869997
  1.95     0.869999
  1.97     0.869999
  1.99     0.870000
  2.01     0.870000
  2.03     0.870000
  2.05     0.870000
  2.07     0.870000
  2.09     0.870000
  2.11     0.870000
  2.13     0.870000
  2.15     0.870000
  2.17     0.870000
  2.18     0.870000
  2.20     0.870000
  2.22     0.870000
  2.24     0.870000
  2.26     0.870000
  2.28     0.870000
  2.30     0.870000
  2.32     0.870000
  2.34     0.870000
  2.36     0.870000
  2.38     0.870000
  2.40     0.870000
  2.42     0.870000
  2.44     0.870000
  2.46     0.870000
  2.47     0.870000
  2.49     0.870000
  2.51     0.870000
  2.53     0.870000
