 x(μm)    Intensity
  0.02     0.000000
  0.04     0.000000
  0.06     0.000000
  0.08     0.000000
  0.10     0.000000
  0.12     0.000000
  0.14     0.000000
  0.15     0.000000
  0.17     0.000000
  0.19     0.000000
  0.21     0.000000
  0.23     0.000000
  0.25     0.000000
  0.27     0.000000
  0.29     0.000000
  0.31     0.000000
  0.33     0.000000
  0.35     0.000000
  0.37     0.000000
  0.39     0.000000
  0.41     0.000000
  0.43     0.000000
  0.44     0.000000
  0.46     0.000000
  0.48     0.000000
  0.50     0.000000
  0.52     0.000000
  0.54     0.000000
  0.56     0.000000
  0.58     0.000000
  0.60     0.000000
  0.62     0.000000
  0.64     0.000000
  0.66     0.000000
  0.68     0.000000
  0.70     0.000000
  0.72     0.000001
  0.73     0.000002
  0.75     0.000004
  0.77     0.000009
  0.79     0.000018
  0.81     0.000038
  0.83     0.000076
  0.85     0.000149
  0.87     0.000284
  0.89     0.000529
  0.91     0.000961
  0.93     0.001704
  0.95     0.002948
  0.97     0.004975
  0.99     0.008194
  1.01     0.013167
  1.02     0.020642
  1.04     0.031573
  1.06     0.047118
  1.08     0.068605
  1.10     0.097460
  1.12     0.135082
  1.14     0.182672
  1.16     0.241016
  1.18     0.310256
  1.20     0.389668
  1.22     0.477497
  1.24     0.570883
  1.26     0.665923
  1.28     0.757882
  1.30     0.841550
  1.31     0.911714
  1.33     0.963693
  1.35     0.993846
  1.37     1.000000
  1.39     0.981707
  1.41     0.940295
  1.43     0.878714
  1.45     0.801182
  1.47     0.712715
  1.49     0.618588
  1.51     0.523826
  1.53     0.432786
  1.55     0.348868
  1.57     0.274378
  1.59     0.210541
  1.60     0.157625
  1.62     0.115137
  1.64     0.082055
  1.66     0.057055
  1.68     0.038707
  1.70     0.025620
  1.72     0.016545
  1.74     0.010425
  1.76     0.006409
  1.78     0.003844
  1.80     0.002249
  1.82     0.001284
  1.84     0.000715
  1.86     0.000389
  1.88     0.000206
  1.89     0.000107
  1.91     0.000054
  1.93     0.000027
  1.95     0.000013
  1.97     0.000006
  1.99     0.000003
  2.01     0.000001
  2.03     0.000001
  2.05     0.000000
  2.07     0.000000
  2.09     0.000000
  2.11     0.000000
  2.13     0.000000
  2.15     0.000000
  2.17     0.000000
  2.18     0.000000
  2.20     0.000000
  2.22     0.000000
  2.24     0.000000
  2.26     0.000000
  2.28     0.000000
  2.30     0.000000
  2.32     0.000000
  2.34     0.000000
  2.36     0.000000
  2.38     0.000000
  2.40     0.000000
  2.42     0.000000
  2.44     0.000000
  2.46     0.000000
  2.47     0.000000
  2.49     0.000000
  2.51     0.000000
