spatial freq.(lp/mm)          MTF
 -26261.85               0.000000
 -25857.82               0.000000
 -25453.79               0.000000
 -25049.76               0.000000
 -24645.74               0.000000
 -24241.71               0.000000
 -23837.68               0.000000
 -23433.65               0.000000
 -23029.62               0.000000
 -22625.59               0.000000
 -22221.56               0.000000
 -21817.54               0.000000
 -21413.51               0.000000
 -21009.48               0.000000
 -20605.45               0.000000
 -20201.42               0.000000
 -19797.39               0.000000
 -19393.36               0.000000
 -18989.33               0.000000
 -18585.31               0.000000
 -18181.28               0.000000
 -17777.25               0.000000
 -17373.22               0.000000
 -16969.19               0.000000
 -16565.16               0.000000
 -16161.13               0.000000
 -15757.10               0.000000
 -15353.08               0.000000
 -14949.05               0.000000
 -14545.02               0.000000
 -14140.99               0.000000
 -13736.96               0.000000
 -13332.93               0.000000
 -12928.90               0.000000
 -12524.88               0.000000
 -12120.85               0.000000
 -11716.82               0.000000
 -11312.79               0.000000
 -10908.76               0.000000
 -10504.73               0.000000
 -10100.70               0.000000
  -9696.67               0.000000
  -9292.65               0.000000
  -8888.62               0.000000
  -8484.59               0.000000
  -8080.56               0.000000
  -7676.53               0.000000
  -7272.50               0.000000
  -6868.47               0.000001
  -6464.44               0.000005
  -6060.42               0.000023
  -5656.39               0.000092
  -5252.36               0.000331
  -4848.33               0.001084
  -4444.30               0.003226
  -4040.27               0.008730
  -3636.24               0.021489
  -3232.22               0.048111
  -2828.19               0.097969
  -2424.16               0.181452
  -2020.13               0.305669
  -1616.10               0.468339
  -1212.07               0.652665
   -808.04               0.827257
   -404.01               0.953696
      0.01               1.000000
    404.04               0.953696
    808.07               0.827257
   1212.10               0.652665
   1616.13               0.468339
   2020.16               0.305669
   2424.19               0.181452
   2828.22               0.097969
   3232.24               0.048111
   3636.27               0.021489
   4040.30               0.008730
   4444.33               0.003226
   4848.36               0.001084
   5252.39               0.000331
   5656.42               0.000092
   6060.44               0.000023
   6464.47               0.000005
   6868.50               0.000001
   7272.53               0.000000
   7676.56               0.000000
   8080.59               0.000000
   8484.62               0.000000
   8888.65               0.000000
   9292.67               0.000000
   9696.70               0.000000
  10100.73               0.000000
  10504.76               0.000000
  10908.79               0.000000
  11312.82               0.000000
  11716.85               0.000000
  12120.88               0.000000
  12524.90               0.000000
  12928.93               0.000000
  13332.96               0.000000
  13736.99               0.000000
  14141.02               0.000000
  14545.05               0.000000
  14949.08               0.000000
  15353.10               0.000000
  15757.13               0.000000
  16161.16               0.000000
  16565.19               0.000000
  16969.22               0.000000
  17373.25               0.000000
  17777.28               0.000000
  18181.31               0.000000
  18585.33               0.000000
  18989.36               0.000000
  19393.39               0.000000
  19797.42               0.000000
  20201.45               0.000000
  20605.48               0.000000
  21009.51               0.000000
  21413.54               0.000000
  21817.56               0.000000
  22221.59               0.000000
  22625.62               0.000000
  23029.65               0.000000
  23433.68               0.000000
  23837.71               0.000000
  24241.74               0.000000
  24645.76               0.000000
  25049.79               0.000000
  25453.82               0.000000
  25857.85               0.000000
