spatial freq.(lp/mm)          MTF
-123518.52               0.000000
-123395.00               0.000000
-123271.48               0.000000
-123147.96               0.000000
-123024.44               0.000000
-122900.93               0.000000
-122777.41               0.000000
-122653.89               0.000000
-122530.37               0.000000
-122406.85               0.000000
-122283.33               0.000000
-122159.81               0.000000
-122036.30               0.000000
-121912.78               0.000000
-121789.26               0.000000
-121665.74               0.000000
-121542.22               0.000000
-121418.70               0.000000
-121295.19               0.000000
-121171.67               0.000000
-121048.15               0.000000
-120924.63               0.000000
-120801.11               0.000000
-120677.59               0.000000
-120554.07               0.000000
-120430.56               0.000000
-120307.04               0.000000
-120183.52               0.000000
-120060.00               0.000000
-119936.48               0.000000
-119812.96               0.000000
-119689.44               0.000000
-119565.93               0.000000
-119442.41               0.000000
-119318.89               0.000000
-119195.37               0.000000
-119071.85               0.000000
-118948.33               0.000000
-118824.81               0.000000
-118701.30               0.000000
-118577.78               0.000000
-118454.26               0.000000
-118330.74               0.000000
-118207.22               0.000000
-118083.70               0.000000
-117960.19               0.000000
-117836.67               0.000000
-117713.15               0.000000
-117589.63               0.000000
-117466.11               0.000000
-117342.59               0.000000
-117219.07               0.000000
-117095.56               0.000000
-116972.04               0.000000
-116848.52               0.000000
-116725.00               0.000000
-116601.48               0.000000
-116477.96               0.000000
-116354.44               0.000000
-116230.93               0.000000
-116107.41               0.000000
-115983.89               0.000000
-115860.37               0.000000
-115736.85               0.000000
-115613.33               0.000000
-115489.81               0.000000
-115366.30               0.000000
-115242.78               0.000000
-115119.26               0.000000
-114995.74               0.000000
-114872.22               0.000000
-114748.70               0.000000
-114625.19               0.000000
-114501.67               0.000000
-114378.15               0.000000
-114254.63               0.000000
-114131.11               0.000000
-114007.59               0.000000
-113884.07               0.000000
-113760.56               0.000000
-113637.04               0.000000
-113513.52               0.000000
-113390.00               0.000000
-113266.48               0.000000
-113142.96               0.000000
-113019.44               0.000000
-112895.93               0.000000
-112772.41               0.000000
-112648.89               0.000000
-112525.37               0.000000
-112401.85               0.000000
-112278.33               0.000000
-112154.81               0.000000
-112031.30               0.000000
-111907.78               0.000000
-111784.26               0.000000
-111660.74               0.000000
-111537.22               0.000000
-111413.70               0.000000
-111290.19               0.000000
-111166.67               0.000000
-111043.15               0.000000
-110919.63               0.000000
-110796.11               0.000000
-110672.59               0.000000
-110549.07               0.000000
-110425.56               0.000000
