x(μm)    Intensity
 -0.42     0.000000
 -0.39     0.000000
 -0.37     0.000000
 -0.34     0.250000
 -0.32     0.250000
 -0.30     0.000000
 -0.27     0.250000
 -0.25     0.428571
 -0.22     0.428571
 -0.20     0.678571
 -0.17     0.857143
 -0.15     0.678571
 -0.12     0.642857
 -0.10     0.946429
 -0.07     0.946429
 -0.05     0.857143
 -0.02     0.946429
  0.00     0.946429
  0.02     0.839286
  0.05     0.839286
  0.07     0.642857
  0.10     0.857143
  0.12     0.839286
  0.15     0.714286
  0.17     0.482143
  0.20     0.428571
  0.22     0.428571
  0.25     0.428571
  0.27     0.482143
  0.30     0.714286
  0.32     0.250000
  0.34     0.000000
  0.37     0.000000
  0.39     0.000000
  0.42     0.000000
  0.44     0.250000
