x(μm)    Intensity
 -0.17     0.035887
 -0.16     0.024249
 -0.15     0.016166
 -0.14     0.008083
 -0.12     0.000000
 -0.11     0.071786
 -0.10     0.210130
 -0.09     0.348473
 -0.07     0.486817
 -0.06     0.607119
 -0.05     0.668644
 -0.04     0.730168
 -0.02     0.791692
 -0.01     0.853217
  0.00     0.891350
  0.01     0.927567
  0.02     0.963783
  0.04     1.000000
  0.05     0.919795
  0.06     0.766288
  0.07     0.612782
  0.09     0.459275
  0.10     0.343536
  0.11     0.314663
  0.12     0.285790
  0.14     0.256917
  0.15     0.228044
  0.16     0.181318
  0.17     0.134456
  0.18     0.087593
  0.20     0.040731
