x(μm)    Intensity
 -0.30     0.007580
 -0.28     0.005053
 -0.27     0.002527
 -0.26     0.000000
 -0.25     0.001339
 -0.23     0.022008
 -0.22     0.042676
 -0.21     0.063344
 -0.20     0.084013
 -0.18     0.137074
 -0.17     0.195582
 -0.16     0.254090
 -0.15     0.312598
 -0.14     0.403806
 -0.12     0.522265
 -0.11     0.640723
 -0.10     0.759181
 -0.09     0.854105
 -0.07     0.872352
 -0.06     0.890598
 -0.05     0.908845
 -0.04     0.927092
 -0.02     0.909670
 -0.01     0.889325
  0.00     0.868981
  0.01     0.848636
  0.02     0.867171
  0.04     0.910186
  0.05     0.953201
  0.06     0.996217
  0.07     1.000000
  0.09     0.913550
  0.10     0.827099
  0.11     0.740649
  0.12     0.654198
  0.14     0.577287
  0.15     0.500448
  0.16     0.423609
  0.17     0.346770
  0.18     0.308475
  0.20     0.288168
  0.21     0.267861
  0.22     0.247554
  0.23     0.222509
  0.25     0.189437
  0.26     0.156365
  0.27     0.123294
  0.28     0.092746
  0.30     0.101323
  0.31     0.109900
  0.32     0.118477
